1.000000000000000021e-03,3.004675569873471479e-09
1.018628990244687619e-03,2.868667650412782415e-09
1.037605019766911670e-03,2.738828446207548184e-09
1.056934553557988335e-03,2.614877327567333233e-09
1.076624177045493267e-03,2.496546489247636948e-09
1.096680598336868600e-03,2.383580360433267387e-09
1.117110650504824203e-03,2.275735042134687711e-09
1.137921293915315117e-03,2.172777770705730036e-09
1.159119618598885779e-03,2.074486406253109921e-09
1.180712846666190276e-03,1.980648944767159757e-09
1.202708334768511989e-03,1.891063052859275129e-09
1.225113576604118949e-03,1.805535624044927755e-09
1.247936205471311460e-03,1.723882355561769883e-09
1.271183996869028896e-03,1.645927344760634800e-09
1.294864871145904933e-03,1.571502704153065028e-09
1.318986896198670470e-03,1.500448194242684145e-09
1.343558290220826226e-03,1.432610873309199347e-09
1.368587424502519176e-03,1.367844763353344513e-09
1.394082826282578647e-03,1.306010531448616389e-09
1.420053181653683095e-03,1.246975185781432691e-09
1.446507338521647217e-03,1.190611785695346714e-09
1.473454309619835756e-03,1.136799165087329951e-09
1.500903275579736594e-03,1.085421668534938599e-09
1.528863588058731147e-03,1.036368899562518516e-09
1.557344772926135207e-03,9.895354804824894920e-10
1.586356533508589657e-03,9.448208232743576280e-10
1.615908753895919101e-03,9.021289109893347616e-10
1.646011502308549748e-03,8.613680891926354972e-10
1.676675034527699143e-03,8.224508669782632481e-10
1.707909797389426916e-03,7.852937271131655677e-10
1.739726432343800767e-03,7.498169448881958282e-10
1.772135779080358372e-03,7.159444152732669033e-10
1.805148879221108154e-03,6.836034879928609601e-10
1.838776980082326793e-03,6.527248101560335801e-10
1.873031538506436536e-03,6.232421760921414324e-10
1.907924224765265072e-03,5.950923840598182800e-10
1.943466926536020246e-03,5.682150995122230881e-10
1.979671752951332481e-03,5.425527246163763722e-10
2.016551038724746607e-03,5.180502737384710557e-10
2.054117348353064112e-03,4.946552546204583948e-10
2.092383480396977150e-03,4.723175549859845048e-10
2.131362471841437810e-03,4.509893343259388897e-10
2.171067602537264923e-03,4.306249206254616648e-10
2.211512399725488933e-03,4.111807118053267323e-10
2.252710642645980484e-03,3.926150816611420257e-10
2.294676367231936100e-03,3.748882900938499144e-10
2.337423870891814758e-03,3.579623974345814407e-10
2.380967717380358135e-03,3.418011826760326608e-10
2.425322741760352948e-03,3.263700654312236370e-10
2.470504055456825433e-03,3.116360314487855608e-10
2.516527051405391836e-03,2.975675615218156390e-10
2.563407409296514835e-03,2.841345636348691943e-10
2.611161100917459583e-03,2.713083082008276626e-10
2.659804395593758260e-03,2.590613662462320827e-10
2.709353865732051433e-03,2.473675504101756422e-10
2.759826392466180594e-03,2.362018586280874373e-10
2.811239171408464344e-03,2.255404203776456000e-10
2.863609718508115885e-03,2.153604453697256018e-10
2.916955876018795853e-03,2.056401745726679792e-10
2.971295818577334054e-03,1.963588334632951492e-10
3.026648059395692196e-03,1.874965874030005328e-10
3.083031456568277075e-03,1.790344990419081949e-10
3.140465219496752208e-03,1.709544876585578030e-10
3.198968915434537586e-03,1.632392903468157511e-10
3.258562476153226226e-03,1.558724249657663529e-10
3.319266204733189573e-03,1.488381547722032492e-10
3.381100782480685445e-03,1.421214546590241211e-10
3.444087275973823411e-03,1.357079789263489681e-10
