      mode        phs vel       w(mhz)          t(secs)      grp vel(km/s)        q             raylquo
  374     2    1113.294        255.0030        3.921522        8.081680        630.5141      -0.7755147E-07
  375     2    1117.036        255.8601        3.908386        11.41744        839.9443      -0.8038473E-07
  376     2    1118.167        256.1191        3.904433        3.170977        556.1950      -0.2137804E-07
  377     2    1123.423        257.3229        3.886168        6.673783        603.8286      -0.8757992E-07
  378     2    1125.031        257.6914        3.880610        10.61934        832.3017      -0.4626484E-06
  379     2    1126.983        258.1384        3.873891        6.921629        619.4929      -0.1119561E-07
  380     2    1132.105        259.3116        3.856365        3.817446        557.5996      -0.6505898E-07
  381     2    1133.639        259.6631        3.851145        9.392768        824.8269      -0.1000899E-05
  382     2    1136.823        260.3922        3.840361        6.573113        592.0603      -0.1073823E-06
  383     2    1141.013        261.3522        3.826255        6.184949        609.7264      -0.3033707E-07
  384     2    1142.125        261.6066        3.822533        11.20752        834.8867      -0.1978587E-06
  385     2    1145.632        262.4100        3.810830        5.345506        565.6264      -0.1292624E-06
  386     2    1150.108        263.4352        3.796000        11.02423        829.2896      -0.3271973E-06
  387     2    1150.349        263.4904        3.795204        4.801070        571.1502      -0.1276357E-07
  388     2    1155.060        264.5694        3.779726        7.388513        624.4269      -0.3254028E-07
  389     2    1158.659        265.3939        3.767985        9.367654        821.5630      -0.1075649E-05
  390     2    1158.973        265.4659        3.766963        5.417935        571.4621      -0.3330273E-07
  391     2    1164.359        266.6996        3.749537        3.725505        560.2853      -0.2042371E-07
  392     2    1167.266        267.3653        3.740201        10.86189        831.8370      -0.4392460E-06
  393     2    1168.807        267.7183        3.735269        9.017516        647.4085      -0.3226908E-07
  394     2    1172.792        268.6311        3.722577        4.223363        565.1927      -0.3579296E-07
  395     2    1175.272        269.1991        3.714723        11.38445        834.2756      -0.1186452E-06
  396     2    1178.434        269.9234        3.704755        4.376963        562.6214      -0.5293179E-07
  397     2    1182.422        270.8369        3.692259        8.511796        638.2718      -0.9814073E-07
  398     2    1183.699        271.1293        3.688277        9.486336        823.9510      -0.9237481E-06
  399     2    1186.939        271.8716        3.678207        4.220029        565.4772      -0.2340627E-07
  400     2    1192.031        273.0380        3.662494        5.439423        565.2468      -0.1768401E-06
